ITEM;TOTAL
2.2;1
3.2;4
3.3;5
3.4;5
3.5;5
4.1;7
4.10;14
4.12;2
4.2;8
4.3;5
4.4;6
4.5;4
4.7;10
4.8;8
4.9;1
5.1;3
5.2;7
5.3;13
6.1;3
7.1;7
7.2;13
8.1;1
8.2;1
9.1;53
9.3;3
10.1;21
10.2;1
10.3;3
11.1;15
12.1;809
