FECHA; GERENCIA CAM; SUB GERENCIA CAM; AREA DE CAM; EMPRESA CONTRATISTA; Nº ENC; Q NC; N IPAL
11-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
11-2014;"Gerencia Operaciones";"Servicios de Distribucion";"Eléctrica";"SCN Ltda.";1;0;0
10-2014;"Gerencia Operaciones";"Servicios de Distribucion";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Construccion OOEE y OOCC";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Mantenimiento Subterraneo";" -- SIN CONTRATISTA -- ";1;1;0
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Construccion OOEE y OOCC";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Servicios de Emergencia";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Obras Civiles";"Col Construcciones";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CAM Chile S.A";1;0;0
10-2014;"Gerencia Operaciones";"Telemedida y Automatizacion";"Eléctrica";"CAM Chile S.A";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Obras Civiles";"CAM Chile S.A";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CODEL";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CODEL";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CODEL";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CAM Chile S.A";1;0;0
10-2014;"Gerencia Operaciones";"Servicios de Distribucion";"Construccion OOEE y OOCC";"CODEL";1;1;40
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Telemedida y Automatizacion";"Eléctrica";"CAM Chile S.A";1;0;0
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CODEL";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Comerciales & Utilities";"Eléctrica";"CODEL";1;1;20
10-2014;"Gerencia Operaciones";"Operaciones Tecnicas";"Obras Civiles";" -- SIN CONTRATISTA -- ";1;0;0
10-2014;"Gerencia Operaciones";"Servicios de Distribucion";"Eléctrica";"COSSIO PINEDA";1;1;50
