ITEM;TOTAL
1.1;6
1.2;2
1.3;1
1.4;2
1.5;3
3.1;2
3.2;8
3.3;6
3.4;7
3.5;1
4.1;5
4.10;3
4.11;7
4.12;5
4.2;2
4.3;4
4.4;6
4.5;1
4.6;3
4.7;2
4.8;6
4.9;8
5.1;3
5.2;6
6.1;26
6.2;5
6.3;14
7.1;4
7.2;10
8.1;4
8.2;3
9.1;59
9.3;1
10.1;4
10.2;2
10.3;1
11.1;11
12.1;208
