FECHA;IPAL;Q TOTAL ENC;Q ENC CON NC;Q NC
 11-2014; 5 ;59;6;16
 10-2014; 4 ;339;46;78
 09-2014; 5 ;291;56;70
 08-2014; 4 ;318;52;65
 07-2014; 3 ;334;49;64
 06-2014; 7 ;260;60;104
 05-2014; 10 ;101;38;55
 04-2014; 84 ;17;17;47
 03-2014; 83 ;4;3;16
 01-2014; 0 ;1;0;0
 05-2009; 0 ;1;0;0
 01-2009; 50 ;3;2;4
