ITEM;TOTAL
1.1;2
1.2;3
1.4;1
1.5;3
2.2;1
3.2;7
3.3;7
3.4;5
3.5;6
4.10;16
4.1;8
4.11;3
4.12;5
4.2;9
4.3;6
4.4;12
4.5;4
4.7;11
4.8;13
4.9;4
5.1;3
5.2;9
5.3;9
6.1;21
6.2;4
6.4;1
6.5;1
7.1;6
7.2;20
8.1;3
8.2;2
9.1;67
9.3;3
10.1;19
10.2;1
10.3;2
11.1;18
12.1;778
