FECHA; IPAL; Q TOTAL ENC; Q ENC CON NC; Q NC
 05-2014;  13  ;79; 33; 51
 03-2014;  30  ;2; 1; 3
 01-2014;  50  ;1; 1; 1
 05-2009;  53  ;4; 3; 5
 01-2009;  50  ;3; 2; 4
