FECHA; GERENCIA CAM; SUB GERENCIA CAM; AREA DE CAM; EMPRESA CONTRATISTA; Nº ENC; Q NC; N IPAL; CIERRE
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CODEL"; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Telemedida y Automatizacion"; "Eléctrica"; "CODEL"; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 40; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; "SOSIAS"; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 40; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 20; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2014; "Gerencia Operaciones"; "Servicios de Distribucion"; "Mantenimiento Subterraneo"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
03-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
03-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 60; N/A
01-2014; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 50; ABIERTA
05-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
05-2009; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 2; 100; ABIERTA
05-2009; "Servicios de Negocios"; "Servicios de Negocios"; "Logística"; " -- SIN CONTRATISTA -- "; 1; 0; 60; N/A
05-2009; "Gerencia Operaciones"; "Operaciones Tecnicas"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 1; 50; ABIERTA
01-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; "IVAN VASQUEZ"; 1; 1; 50; ABIERTA
01-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "Eléctrica"; " -- SIN CONTRATISTA -- "; 1; 3; 100; ABIERTA
01-2009; "Gerencia Operaciones"; "Operaciones Comerciales & Utilities"; "SOT (Civil - Electrico)"; " -- SIN CONTRATISTA -- "; 1; 0; 0; N/A
