ID,FECHA,GERENCIA CAM,SUB GERENCIA CAM,AREA DE CAM,EMPRESA CONTRATISTA,Nº ENC,Q NC,N IPAL,CIERRE
"237","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"238","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"269","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"270","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"250","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"253","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","6","80","ABIERTA"
"254","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","3","60","ABIERTA"
"255","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","1","20","ABIERTA"
"256","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica","SILVA & CIA","1","1","20","ABIERTA"
"252","05-2014","Gerencia Operaciones","Telemedida y Automatizacion","Eléctrica","CAM Chile S.A","1","2","20","ABIERTA"
"228","05-2014","Gerencia Operaciones","Servicios de Distribucion","Mantenimiento Subterraneo","CAM Chile S.A","1","0","0","N/A"
"287","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"311","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"234","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","SOT (Civil - Electrico)","CAM Chile S.A","1","0","0","N/A"
"239","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"240","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"246","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"247","05-2014","Gerencia Operaciones","Operaciones Comerciales & Utilities","Eléctrica"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"215","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"222","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"223","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"224","05-2014","Gerencia Operaciones","Servicios de Distribucion","Servicios de Emergencia"," -- SIN CONTRATISTA -- ","1","0","0","N/A"
"286","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
"310","05-2014","Gerencia Operaciones","Servicios de Distribucion","Construccion OOEE y OOCC"," -- SIN CONTRATISTA -- ","1","1","20","ABIERTA"
