FECHA;IPAL;Q TOTAL ENC;Q ENC CON NC;Q NC
 09-2014; 11 ;33;19;32
 08-2014; 34 ;41;41;108
 07-2014; 8 ;36;36;50
 06-2014; 11 ;42;42;66
 05-2014; 23 ;53;53;111
 04-2014; 82 ;17;17;64
 03-2014; 83 ;4;4;20
