FECHA;IPAL;Q TOTAL ENC;Q ENC CON NC;Q NC
 11-2014; 0 ;2;0;0
 10-2014; 7 ;732;131;266
 09-2014; 6 ;565;119;162
 08-2014; 7 ;590;130;208
 07-2014; 6 ;626;131;167
 06-2014; 8 ;502;114;192
 05-2014; 13 ;281;116;195
 04-2014; 84 ;17;17;47
 03-2014; 83 ;4;3;16
 01-2014; 0 ;1;0;0
 05-2009; 30 ;2;1;2
 01-2009; 50 ;3;2;4
