FECHA; IPAL; Q TOTAL ENC; Q ENC CON NC; Q NC
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        05-2014;  11.558441558442  ;77; 2; 3
                              03-2014;  30  ;2; 0; 0
                01-2014;  0  ;1; 0; 0
                                                          05-2009;  52.5  ;4; 2; 3
                                            01-2009;  50  ;3; 2; 4
